strategy,direction,sl_pct,tp_pct,max_bars,total_trades,wins,losses,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe,avg_win_pct,avg_loss_pct,coins_used,period,variable
bb-squeeze-short,short,7,7,48,24,10,14,41.7,0.61,-15.15,19.3,-3.87,2.35,-2.76,1,2y,avoid_us(14-22)
bb-squeeze-short,short,7,7,48,48,22,26,45.8,0.9,-7.33,27.2,-0.55,3.11,-2.91,1,2y,avoid_lowvol(2-6)
bb-squeeze-short,short,7,7,48,33,17,16,51.5,1.31,13.42,21.2,1.73,3.33,-2.7,1,2y,only_peak(12-20)
bb-squeeze-short,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y,min_vol=0.5
bb-squeeze-short,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y,min_vol=0.7
bb-squeeze-short,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y,min_vol=0.8
bb-squeeze-short,short,7,7,48,42,22,20,52.4,1.13,8.24,19.1,0.72,3.23,-3.14,1,2y,min_vol=1.0
bb-squeeze-short,short,7,7,48,22,13,9,59.1,1.56,19.03,10.7,3.89,4.06,-3.74,1,2y,min_vol=1.2
bb-squeeze-long,short,7,7,12,55,29,26,52.7,1.23,8.87,8.3,0.96,1.63,-1.47,1,2y,max_bars=12
bb-squeeze-long,short,7,7,24,54,27,27,50.0,1.14,8.2,17.7,0.63,2.47,-2.16,1,2y,max_bars=24
bb-squeeze-long,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y,max_bars=48
bb-squeeze-long,short,7,7,72,43,20,23,46.5,0.99,-0.94,25.4,-0.07,3.67,-3.24,1,2y,max_bars=72
bb-squeeze-long,short,7,7,96,41,18,23,43.9,1.06,5.18,24.4,0.39,4.81,-3.54,1,2y,max_bars=96
bb-squeeze-long,short,7,7,168,40,18,22,45.0,0.81,-21.13,39.6,-1.4,4.87,-4.95,1,2y,max_bars=168
bb-squeeze-long,short,7,7,48,40,18,22,45.0,0.9,-6.36,26.5,-0.6,3.25,-2.95,1,2y,avoid_asia(0-8)
bb-squeeze-long,short,7,7,48,41,19,22,46.3,1.06,4.05,18.8,0.35,3.76,-3.07,1,2y,avoid_eu(8-16)
bb-squeeze-long,short,7,7,48,24,10,14,41.7,0.61,-15.15,19.3,-3.87,2.35,-2.76,1,2y,avoid_us(14-22)
bb-squeeze-long,short,7,7,48,48,22,26,45.8,0.9,-7.33,27.2,-0.55,3.11,-2.91,1,2y,avoid_lowvol(2-6)
bb-squeeze-long,short,7,7,48,33,17,16,51.5,1.31,13.42,21.2,1.73,3.33,-2.7,1,2y,only_peak(12-20)
bb-squeeze-long,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y,min_vol=0.5
bb-squeeze-long,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y,min_vol=0.7
bb-squeeze-long,short,7,7,48,46,24,22,52.2,1.28,16.15,14.4,1.33,3.09,-2.64,1,2y,min_vol=0.8
bb-squeeze-long,short,7,7,48,42,22,20,52.4,1.13,8.24,19.1,0.72,3.23,-3.14,1,2y,min_vol=1.0
bb-squeeze-long,short,7,7,48,22,13,9,59.1,1.56,19.03,10.7,3.89,4.06,-3.74,1,2y,min_vol=1.2
